OSEBuildingID,DataYear,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comment,ComplianceStatus,Outlier,Latitude,Longitude,ZipCode,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUI(kBtu/sf)_diff1516,SiteEUIWN(kBtu/sf)_diff1516,SourceEUI(kBtu/sf)_diff1516,SourceEUIWN(kBtu/sf)_diff1516,SiteEnergyUse(kBtu)_diff1516,SiteEnergyUseWN(kBtu)_diff1516,SteamUse(kBtu)_diff1516,Electricity(kWh)_diff1516,Electricity(kBtu)_diff1516,NaturalGas(therms)_diff1516,NaturalGas(kBtu)_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
98,2015,retailstore,7,1929,1.0,2.0,58320,0,58320,95.0,14.9,19.2,26.6,31.5,1074180.0,1383366.0,0.0,110291.0,376328.0,6979.0,697867.0,0.0,No,,Compliant,,47.622375,-122.33805,98109.0,39.69,0.65,2.5999999999999943,0.29999847000000557,5.900000000000006,2.599996900000008,630168.0,1365470.0,0.0,100325.0,341867.0,2878.5078099999955,287857.0,17.670000000000016,0.2200000000000002
100,2015,largeoffice,7,2010,1.0,5.0,316306,0,316306,96.0,46.3,46.7,139.3,139.8,13300859.0,13429220.0,0.0,3654943.0,12471183.0,8302.0,830194.0,0.0,No,,Compliant,,47.62428336,-122.33589247,98109.0,131.03,0.24,-15.399996950000002,-14.200000000000003,-16.099993899999987,-15.599993899999987,-5678422.0,-5600476.0,-2466850.0,31286.0,106154.0,6886.799805,688680.0,-153.10000000000002,-3.86
102,2015,hotel,3,1990,1.0,7.0,282863,44766,238097,40.0,79.9,85.3,178.1,186.6,18829136.0,20123722.0,0.0,3117920.0,10638785.0,81908.0,8190794.0,0.0,No,,Compliant,,47.6263594,-122.333131,98109.0,509.18,1.64,47.1999969,40.000001499999996,60.500012200000015,49.29999390000003,3071301.5,3112027.0,2850130.0,38763.125,132110.0,0.0,0.0,220.92,2.59
103,2015,other,7,1962,1.0,1.0,129000,0,129000,,79.7,78.7,167.7,167.7,29337400.0,28974828.0,8560000.0,4194724.0,14312992.0,0.0,0.0,6464408.0,No,,Compliant,,47.62124083,-122.3534322,98109.0,760.51,5.42,-22.400003049999995,-20.19999695,-28.69999390000001,-27.69999999999999,-6230070.0,-5927260.0,-1187310.0,-208608.25,-712102.0,0.0,0.0,-96.6099999999999,-0.16000000000000014
104,2015,other,7,1962,1.0,1.0,91213,0,91213,,78.0,85.9,201.2,216.1,5069854.0,5580583.0,1270000.0,1061505.0,3622005.0,0.0,0.0,177849.0,No,,Compliant,,47.62124083,-122.3534322,98109.0,123.28,1.18,-3.39999847,-2.5000030500000037,-10.400003099999992,-7.900006100000013,-2128888.0,-1581344.0,0.0,-594703.0,-2030548.0,-998.1484400000045,-99767.0,-19.440000000000055,0.22000000000000008
106,2015,other,7,1938,1.0,5.0,396085,0,396085,,97.6,96.5,166.8,167.7,27185096.0,26880068.0,10951000.0,2334143.0,7964427.0,0.0,0.0,8269669.0,No,,Compliant,,47.62189039,-122.3502752,98109.0,900.81,2.19,1.8000015299999959,2.199998470000004,8.000001499999996,8.200000000000003,93897.0,49770.75,57380.0,42167.90629999997,143829.0,0.0,0.0,5.439999999999998,0.11999999999999988
107,2015,largeoffice,7,2010,1.0,12.0,571329,0,571329,89.0,66.8,66.7,184.6,184.3,41734776.0,41683652.0,0.0,10033800.0,34236747.0,74995.0,7499452.0,0.0,No,,Compliant,,47.62099765,-122.33592466,98109.0,636.96,0.86,-0.49999961900000045,-0.49999961900000045,-1.3999999999999986,-1.3999999999999986,-49036.6875,-49036.6875,0.0,-14371.703100000013,-49075.0,0.0,0.0,-0.33999999999999986,0.060000000000000005
110,2015,other,7,1962,1.0,2.0,49680,0,49680,,50.6,49.4,102.4,101.3,2632472.0,2568666.0,1145000.0,336891.0,1149520.0,0.0,0.0,337952.0,No,,Compliant,,47.62393635,-122.35193,98109.0,96.39,1.84,-0.4000000000000057,-0.09999695000000486,-2.900003099999992,-4.5000030999999865,-104882.0,-4610.0,1237220.0,-137879.25,-471024.0,0.0,0.0,92.22000000000003,0.5800000000000001
111,2015,other,7,1928,1.0,1.0,60696,0,60696,,8.6,8.6,26.9,26.9,924980.0,924980.0,0.0,271096.0,925018.0,0.0,0.0,0.0,No,,Compliant,,47.62388082,-122.3499699,98109.0,6.45,0.04,-2.89999847,-2.39999847,-9.200003100000004,-7.799993900000004,-163659.75,-137858.25,0.0,-47966.75,-163843.0,0.0,0.0,-1.1500000000000021,0.27
112,2015,other,7,1928,1.0,2.0,262048,0,262048,,70.4,70.4,174.1,179.7,20828130.0,20845160.0,3900000.0,4098221.0,13983710.0,0.0,0.0,2944419.0,No,,Compliant,,47.62388082,-122.3499699,98109.0,398.51,1.29,-0.10000076000000035,-1.000000759999999,-2.4999969000000135,-1.3999938999999983,-14144.0,1423920.0,0.0,-259254.5,-885758.0,8703.796879999994,870428.0,40.06000000000006,0.16999999999999993
