OSEBuildingID,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuildings,ENERGYSTARScore,SiteEUIkBtusf,SiteEUIWNkBtusf,SourceEUIkBtusf,SourceEUIWNkBtusf,SiteEnergyUsekBtu,SiteEnergyUseWNkBtu,SteamUsekBtu,ElectricitykWh,ElectricitykBtu,NaturalGastherms,NaturalGaskBtu,OtherFuelUsekBtu,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUIkBtusf_diff1516,SiteEUIWNkBtusf_diff1516,SourceEUIkBtusf_diff1516,SourceEUIWNkBtusf_diff1516,SiteEnergyUsekBtu_diff1516,SiteEnergyUseWNkBtu_diff1516,SteamUsekBtu_diff1516,ElectricitykWh_diff1516,ElectricitykBtu_diff1516,NaturalGastherms_diff1516,NaturalGaskBtu_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
547,non-refrigeratedwarehouse,2.0,1966.0,1.0,1.0,55700.0,0.0,55700.0,62.0,9.6,9.6,30.1,30.1,533078.0,533078.0,0.0,156236.0,533100.0,0.0,0.0,0.0,nan,3.72,0.03,0.0,1.9999938999999929,0.7999999999999545,10.400012199999937,0.0,0.0,0.0,13830.0,46472.0,-660.9497069999998,0.0,0.0,0.6800000000000002
548,small-andmid-sizedoffice,2.0,1964.0,1.0,1.0,53250.0,0.0,53250.0,92.0,41.6,40.2,88.3,83.8,2196718.0,2120938.0,0.0,329805.0,1125340.0,10714.0,1071424.0,0.0,nan,64.75,1.13,15.300000000000011,9.800000000000011,20.30001219999997,21.49997559999997,790295.0,1151789.0,0.0,31176.75,106049.0,6839.195309999996,683920.0,37.06999999999999,0.0
549,small-andmid-sizedoffice,7.0,1987.0,1.0,6.0,78672.0,28427.0,50245.0,95.0,34.5,36.7,94.5,96.8,2713722.0,2886059.0,0.0,643270.0,2194927.0,5189.0,518886.0,0.0,nan,42.86,0.42,0.0,0.0,11.20002439999996,19.799999999999955,0.0,0.0,0.0,156064.5,532231.0,-11173.37109,0.0,0.0,0.0
550,non-refrigeratedwarehouse,5.0,1986.0,1.0,3.0,64660.0,0.0,64660.0,88.0,5.3,5.3,13.6,13.6,340270.0,340270.0,0.0,72969.0,248981.0,913.0,91300.0,0.0,nan,6.58,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-533550.25,0.0,0.0,0.0,0.0,0.08
551,mixeduseproperty,3.0,1927.0,1.0,2.0,75844.0,19928.0,55916.0,,63.9,63.9,192.4,192.4,3635600.0,3635600.0,0.0,999628.0,3410872.0,2249.0,224869.0,0.0,nan,35.72,0.28,0.0,0.0,0.0,0.0,0.0,423352.0,0.0,-67293.25,0.0,1471.9980499999983,147200.0,6.210000000000008,0.1599999999999999
552,distributioncenter,2.0,1968.0,1.0,1.0,161678.0,0.0,161678.0,27.0,53.1,60.4,132.9,140.5,9245102.0,10517501.0,0.0,1884734.0,6430979.0,28144.0,2814388.0,0.0,nan,194.3,1.03,1.100003049999998,1.100003049999998,3.4999877999999853,3.4999877999999853,68735.5,68735.5,0.0,20198.875,68696.0,-1.7299956999999893,0.0,0.4699999999999988,0.38
553,distributioncenter,2.0,1949.0,1.0,1.0,101101.0,0.0,101101.0,1.0,233.6,226.0,732.5,708.7,23612824.0,22845550.0,0.0,6908857.0,23573999.0,398.0,39804.0,0.0,nan,166.45,0.64,4.700000760000002,2.7999984700000056,7.400003099999992,6.599998499999998,325500.5,730915.5,0.0,23606.406299999973,80477.0,2449.51953,244956.0,13.569999999999991,0.3199999999999998
554,distributioncenter,2.0,1980.0,1.0,1.0,52613.0,0.0,52613.0,77.0,18.9,18.9,40.2,40.2,992738.0,992738.0,0.0,150594.0,513849.0,4789.0,478910.0,0.0,nan,29.02,0.51,1.7000015299999944,2.299999999999997,5.2999968999999965,5.900003099999992,145770.5,197351.5,0.0,40370.0,137503.0,79.92993200000001,8027.0,1.3900000000000006,0.26
555,other,2.0,1940.0,1.0,1.0,56608.0,0.0,56608.0,,92.1,96.1,259.3,257.8,5234454.0,5465492.0,0.0,1296480.0,4423773.0,8109.0,810864.0,0.0,nan,73.9,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-595926.0,0.0,0.0,0.0,0.0,0.5900000000000001
556,refrigeratedwarehouse,2.0,1953.0,1.0,1.0,104099.0,0.0,104099.0,,170.2,165.4,524.7,504.8,17714332.0,17213584.0,0.0,5051736.0,17237239.0,4778.0,477808.0,0.0,nan,145.54,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450734.687,0.0,-17271.210939999997,0.0,0.0,0.0
